locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
WA5_RS00195,WA5_RS00195,NC_020519.1,WA5_0034,35012.0,35671.0,+,rhomboid family intramembrane serine protease,Function unknown,,Op25
WA5_RS00200,WA5_RS00200,NC_020519.1,WA5_0035,36244.0,37014.0,-,helix-turn-helix domain-containing protein,Transcription,,Op26
WA5_RS16395,WA5_RS16395,NC_020519.1,,37051.0,37242.0,-,AraC family transcriptional regulator,No COG annotation,,Op27
WA5_RS00205,WA5_RS00205,NC_020519.1,WA5_0036,37245.0,38201.0,+,iron chelate uptake ABC transporter family permease subunit,Inorganic ion transport and metabolism,,Op28
WA5_RS00210,WA5_RS00210,NC_020519.1,WA5_0037,38202.0,38981.0,+,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Q8NUA1,Op28
WA5_RS00215,WA5_RS00215,NC_020519.1,WA5_0038,38978.0,39802.0,+,siderophore-interacting protein,Inorganic ion transport and metabolism,,Op28
WA5_RS00220,crgA,NC_020519.1,WA5_0039,40186.0,40458.0,-,cell division protein CrgA,"Cell cycle control, cell division, chromosome partitioning",Q8NU99,Op29
WA5_RS00225,pknB,NC_020519.1,WA5_0040,40573.0,42513.0,-,Stk1 family PASTA domain-containing Ser/Thr kinase,Transcription,,Op30
WA5_RS00230,WA5_RS00230,NC_020519.1,WA5_0041,42510.0,43919.0,-,serine/threonine protein kinase,Transcription,Q8NU97,Op30
WA5_RS00235,WA5_RS00235,NC_020519.1,WA5_0042,43923.0,45347.0,-,penicillin-binding protein 2,Cell wall/membrane/envelope biogenesis,,Op30
WA5_RS00240,WA5_RS00240,NC_020519.1,WA5_0043,45344.0,46669.0,-,FtsW/RodA/SpoVE family cell cycle protein,"Cell cycle control, cell division, chromosome partitioning",,Op30
WA5_RS00245,WA5_RS00245,NC_020519.1,WA5_0044,46666.0,48021.0,-,protein phosphatase 2C domain-containing protein,Signal transduction mechanisms,A0A1Q3DLF4,Op30
WA5_RS00250,WA5_RS00250,NC_020519.1,WA5_0045,48021.0,48485.0,-,FHA domain-containing protein,Signal transduction mechanisms,Q8NU93,Op30
WA5_RS00255,WA5_RS00255,NC_020519.1,WA5_0046,48502.0,49398.0,-,DUF3662 and FHA domain-containing protein,Signal transduction mechanisms,,Op30
WA5_RS16400,WA5_RS16400,,,,,,,No COG annotation,,
WA5_RS00275,WA5_RS00275,,,,,,,No COG annotation,,
WA5_RS00280,WA5_RS00280,NC_020519.1,WA5_0049,51623.0,53095.0,-,NAD-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,Q8NU89,Op33
WA5_RS00285,WA5_RS00285,NC_020519.1,WA5_0050,53094.0,54011.0,+,phenol 2-monooxygenase,Energy production and conversion,,Op34
WA5_RS00290,WA5_RS00290,NC_020519.1,WA5_0051,54179.0,55549.0,+,rhodanese-like domain-containing protein,Inorganic ion transport and metabolism,,Op35
WA5_RS00295,WA5_RS00295,NC_020519.1,WA5_0052,55626.0,56372.0,-,sulfite exporter TauE/SafE family protein,Function unknown,,Op36
WA5_RS00300,WA5_RS00300,NC_020519.1,WA5_0053,56383.0,56676.0,-,rhodanese-like domain-containing protein,Inorganic ion transport and metabolism,A0A172QQ49,Op36
WA5_RS00305,WA5_RS00305,NC_020519.1,WA5_0054,56677.0,57270.0,-,rhodanese-like domain-containing protein,Inorganic ion transport and metabolism,Q8NU84,Op36
WA5_RS00310,WA5_RS00310,NC_020519.1,WA5_0055,57397.0,57654.0,+,metal-sensitive transcriptional regulator,Function unknown,A0A172QQ62,Op37
WA5_RS00315,WA5_RS00315,,,,,,,No COG annotation,,
WA5_RS00320,WA5_RS00320,NC_020519.1,WA5_0057,59103.0,59933.0,+,polyphosphate polymerase domain-containing protein,Inorganic ion transport and metabolism,,Op39
WA5_RS00325,WA5_RS00325,NC_020519.1,WA5_0058,59952.0,60665.0,+,DUF4956 domain-containing protein,Function unknown,R0JMK4,Op39
WA5_RS00330,WA5_RS00330,NC_020519.1,WA5_0059,60699.0,62324.0,+,CotH kinase family protein,Cell wall/membrane/envelope biogenesis,,Op39
WA5_RS00335,WA5_RS00335,NC_020519.1,WA5_0060,62387.0,63508.0,-,magnesium and cobalt transport protein CorA,Inorganic ion transport and metabolism,,Op40
WA5_RS00340,WA5_RS00340,NC_020519.1,WA5_0061,63591.0,64040.0,-,tautomerase family protein,Function unknown,R0HUX4,Op41
WA5_RS00345,WA5_RS00345,NC_020519.1,WA5_0062,64190.0,65461.0,+,chloride channel protein,Inorganic ion transport and metabolism,,Op42
WA5_RS00350,pnuC,NC_020519.1,WA5_0063,65505.0,66197.0,-,nicotinamide riboside transporter PnuC,Coenzyme transport and metabolism,A0A7I8AQF7,Op43
WA5_RS00355,WA5_RS00355,NC_020519.1,WA5_0064,66599.0,67975.0,+,PhoH family protein,Signal transduction mechanisms,,Op44
WA5_RS00360,WA5_RS00360,NC_020519.1,WA5_0065,68248.0,68634.0,-,hypothetical protein,No COG annotation,Q8NU73,Op45
WA5_RS00365,WA5_RS00365,NC_020519.1,WA5_0066,68717.0,70297.0,-,CitMHS family transporter,Energy production and conversion,,Op46
WA5_RS00370,WA5_RS00370,NC_020519.1,WA5_0067,70506.0,72161.0,+,sensor histidine kinase,Signal transduction mechanisms,Q8NU71,Op47
WA5_RS00375,WA5_RS00375,NC_020519.1,WA5_0068,72161.0,72817.0,+,response regulator,Transcription,R0JNF8,Op47
WA5_RS00380,WA5_RS00380,NC_020519.1,WA5_0069,72814.0,73728.0,-,D-isomer specific 2-hydroxyacid dehydrogenase family protein,Amino acid transport and metabolism,,Op48
WA5_RS00385,WA5_RS00385,,,,,,,No COG annotation,,
WA5_RS00390,bioB,NC_020519.1,WA5_0071,74490.0,75494.0,+,biotin synthase BioB,Coenzyme transport and metabolism,A0A1B4WH23,Op50
WA5_RS00395,WA5_RS00395,,,,,,,No COG annotation,,
WA5_RS00400,WA5_RS00400,NC_020519.1,WA5_0073,75697.0,76038.0,+,CHY zinc finger protein,Function unknown,Q8NU66,Op50
WA5_RS00420,WA5_RS00420,NC_020519.1,WA5_0074,82117.0,83568.0,-,MFS transporter,Amino acid transport and metabolism,Q8NU65,Op51
WA5_RS00425,WA5_RS00425,NC_020519.1,WA5_0075,83688.0,84935.0,-,amidohydrolase family protein,Nucleotide transport and metabolism,Q8NU64,Op52
WA5_RS00430,WA5_RS00430,NC_020519.1,WA5_0076,85095.0,85319.0,-,hypothetical protein,No COG annotation,,Op53
WA5_RS00435,WA5_RS00435,,,,,,,No COG annotation,,
WA5_RS00440,WA5_RS00440,NC_020519.1,WA5_0078,86477.0,87244.0,+,NAD-dependent protein deacetylase,Transcription,,Op55
WA5_RS00445,WA5_RS00445,NC_020519.1,WA5_0079,87558.0,88532.0,-,triacylglycerol lipase,Function unknown,A0A7I8APX0,Op56
WA5_RS00450,WA5_RS00450,NC_020519.1,WA5_0080,88542.0,89444.0,-,triacylglycerol lipase,Function unknown,Q8NU59,Op56
WA5_RS00455,WA5_RS00455,NC_020519.1,WA5_0081,89615.0,90448.0,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,Op57
WA5_RS00460,WA5_RS00460,NC_020519.1,WA5_0082,90458.0,90973.0,-,MarR family winged helix-turn-helix transcriptional regulator,Transcription,Q8NU57,Op58
WA5_RS00465,WA5_RS00465,NC_020519.1,WA5_0083,91174.0,91476.0,+,urease subunit gamma,Amino acid transport and metabolism,R0HXR1,Op59
WA5_RS00470,WA5_RS00470,NC_020519.1,WA5_0084,91503.0,91991.0,+,urease subunit beta,Amino acid transport and metabolism,,Op59
WA5_RS00475,ureC,NC_020519.1,WA5_0085,91992.0,93704.0,+,urease subunit alpha,Amino acid transport and metabolism,A0A0U4XS66,Op59
WA5_RS00480,ureE,NC_020519.1,WA5_0086,93729.0,94202.0,+,urease accessory protein UreE,"Translation, ribosomal structure and biogenesis",Q9RHM3,Op59
WA5_RS00485,WA5_RS00485,NC_020519.1,WA5_0087,94202.0,94882.0,+,urease accessory protein UreF,"Post-translational modification, protein turnover, and chaperones",A0A0U4QCU0,Op59
WA5_RS00490,ureG,NC_020519.1,WA5_0088,94899.0,95516.0,+,urease accessory protein UreG,Transcription,R0HXS2,Op59
WA5_RS00495,WA5_RS00495,NC_020519.1,WA5_0089,95517.0,96368.0,+,urease accessory protein UreD,"Post-translational modification, protein turnover, and chaperones",A0A1Q3DLT1,Op59
WA5_RS00500,WA5_RS00500,NC_020519.1,WA5_0090,96365.0,97117.0,-,alpha/beta fold hydrolase,Lipid transport and metabolism,,Op60
WA5_RS00505,WA5_RS00505,NC_020519.1,WA5_0091,97316.0,98470.0,-,MFS transporter,Amino acid transport and metabolism,Q8NU55,Op61
WA5_RS00510,WA5_RS00510,NC_020519.1,WA5_0092,98805.0,101582.0,-,hypothetical protein,Transcription,Q8NU54,Op62
WA5_RS00515,WA5_RS00515,NC_020519.1,WA5_0093,101609.0,103435.0,-,HSP90 family protein,"Post-translational modification, protein turnover, and chaperones",,Op62
WA5_RS00520,amn,NC_020519.1,WA5_0094,103503.0,104912.0,+,AMP nucleosidase,Nucleotide transport and metabolism,,Op63
WA5_RS00525,WA5_RS00525,NC_020519.1,WA5_0095,105170.0,105874.0,-,hypothetical protein,Amino acid transport and metabolism,,Op64
WA5_RS00530,WA5_RS00530,NC_020519.1,WA5_0096,105838.0,106392.0,-,thiamine pyrophosphate-binding protein,Amino acid transport and metabolism,Q8NU50,Op65
WA5_RS00535,WA5_RS00535,NC_020519.1,WA5_0097,106627.0,107178.0,-,PepSY domain-containing protein,Function unknown,,Op66
WA5_RS00540,WA5_RS00540,NC_020519.1,WA5_0098,107444.0,110893.0,+,proline dehydrogenase family protein,Energy production and conversion,,Op67
WA5_RS00545,WA5_RS00545,NC_020519.1,WA5_0099,111374.0,112321.0,+,aldo/keto reductase,Energy production and conversion,Q8NU47,Op68
WA5_RS00550,WA5_RS00550,NC_020519.1,WA5_0100,112470.0,114086.0,+,AbgT family transporter,Coenzyme transport and metabolism,Q8NU46,Op69
WA5_RS00555,WA5_RS00555,NC_020519.1,WA5_0101,114093.0,115481.0,+,M20 family metallopeptidase,Function unknown,,Op69
WA5_RS00560,WA5_RS00560,NC_020519.1,WA5_0102,115578.0,115946.0,+,YidH family protein,Function unknown,R0I1R4,Op70
WA5_RS00565,WA5_RS00565,NC_020519.1,WA5_0103,115949.0,116266.0,+,DUF202 domain-containing protein,Function unknown,R0JTL0,Op70
WA5_RS00570,WA5_RS00570,NC_020519.1,WA5_0104,116545.0,118557.0,-,ATP-binding protein,No COG annotation,,Op71
WA5_RS00580,WA5_RS00580,NC_020519.1,WA5_0105,118807.0,119559.0,-,DeoR family transcriptional regulator,Transcription,,Op72
WA5_RS00585,WA5_RS00585,NC_020519.1,WA5_0106,120021.0,120413.0,+,VOC family protein,Amino acid transport and metabolism,A0A6M4Q1U1,Op73
WA5_RS00590,WA5_RS00590,NC_020519.1,WA5_0107,120410.0,120922.0,-,histidine phosphatase family protein,Signal transduction mechanisms,Q8NU39,Op74
WA5_RS00595,WA5_RS00595,NC_020519.1,WA5_0108,120948.0,122459.0,-,mannitol dehydrogenase family protein,Carbohydrate transport and metabolism,,Op74
WA5_RS00600,WA5_RS00600,NC_020519.1,WA5_0109,122504.0,123841.0,-,RbtT/DalT/CsbX family MFS transporter,Carbohydrate transport and metabolism,R0I1M7,Op75
WA5_RS00605,WA5_RS00605,NC_020519.1,WA5_0110,124121.0,124969.0,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,A0A1Q6BPC5,Op76
WA5_RS00610,xylB,NC_020519.1,WA5_0111,124971.0,126353.0,+,xylulokinase,Carbohydrate transport and metabolism,,Op76
WA5_RS00615,panC,NC_020519.1,WA5_0112,126350.0,127189.0,-,pantoate--beta-alanine ligase,Coenzyme transport and metabolism,Q9X713,Op77
WA5_RS00620,panB,NC_020519.1,WA5_0113,127189.0,127998.0,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,Q9X712,Op77
WA5_RS15940,WA5_RS15940,NC_020519.1,WA5_0114,128096.0,129049.0,-,Fic family protein,Transcription,,Op78
WA5_RS00630,WA5_RS00630,NC_020519.1,WA5_0115,129486.0,130055.0,-,DNA-3-methyladenine glycosylase,"Replication, recombination and repair",Q8NU33,Op79
WA5_RS00635,WA5_RS00635,NC_020519.1,WA5_0116,130145.0,130801.0,+,DUF1801 domain-containing protein,Function unknown,Q8NU32,Op80
WA5_RS00640,WA5_RS00640,NC_020519.1,WA5_0117,130812.0,131711.0,-,alpha/beta hydrolase,Lipid transport and metabolism,,Op81
WA5_RS00645,WA5_RS00645,NC_020519.1,WA5_0118,131822.0,132427.0,+,HAD family phosphatase,Function unknown,,Op82
WA5_RS00650,WA5_RS00650,NC_020519.1,WA5_0119,132424.0,132984.0,+,gamma carbonic anhydrase family protein,Function unknown,Q8NU29,Op82
WA5_RS00655,WA5_RS00655,NC_020519.1,WA5_0120,132968.0,134113.0,-,winged helix-turn-helix domain-containing protein,Transcription,R0I1W0,Op83
WA5_RS00660,WA5_RS00660,NC_020519.1,WA5_0121,134204.0,135478.0,-,MFS transporter,Amino acid transport and metabolism,Q8NU27,Op84
WA5_RS00665,WA5_RS00665,,,,,,,No COG annotation,,
WA5_RS00670,WA5_RS00670,,,,,,,No COG annotation,,
WA5_RS00675,WA5_RS00675,,,,,,,No COG annotation,,
WA5_RS00680,WA5_RS00680,,,,,,,No COG annotation,,
WA5_RS00685,WA5_RS00685,NC_020519.1,WA5_0126,140329.0,141792.0,+,glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q8NU22,Op87
WA5_RS00690,WA5_RS00690,NC_020519.1,WA5_0127,141796.0,143529.0,+,glycosyltransferase family 39 protein,Cell wall/membrane/envelope biogenesis,,Op87
WA5_RS00695,WA5_RS00695,NC_020519.1,WA5_0128,143575.0,144642.0,+,hypothetical protein,Function unknown,Q8NU19,Op88
WA5_RS00700,WA5_RS00700,NC_020519.1,WA5_0129,144725.0,145483.0,+,sulfite exporter TauE/SafE family protein,Function unknown,R0JQ40,Op89
WA5_RS00705,WA5_RS00705,NC_020519.1,WA5_0130,145515.0,146396.0,-,permease,Function unknown,Q8NU18,Op90
WA5_RS00710,WA5_RS00710,NC_020519.1,WA5_0131,146522.0,147241.0,+,trimeric intracellular cation channel family protein,Function unknown,Q8NU17,Op91
WA5_RS00715,WA5_RS00715,NC_020519.1,WA5_0132,147238.0,147573.0,+,META domain-containing protein,"Post-translational modification, protein turnover, and chaperones",Q8NU16,Op91
WA5_RS00720,WA5_RS00720,NC_020519.1,WA5_0133,147570.0,147980.0,-,aspartate 1-decarboxylase,Coenzyme transport and metabolism,R0JE72,Op92
WA5_RS00725,WA5_RS00725,NC_020519.1,WA5_0134,148122.0,149783.0,+,DUF885 family protein,Function unknown,Q8NU15,Op93
WA5_RS00730,WA5_RS00730,NC_020519.1,WA5_0135,149791.0,150930.0,-,AbrB family transcriptional regulator,Function unknown,Q8NU14,Op94
WA5_RS00735,WA5_RS00735,,,,,,,No COG annotation,,
WA5_RS00740,WA5_RS00740,NC_020519.1,WA5_0137,151590.0,152372.0,+,TSUP family transporter,Function unknown,A0A1B4WHB2,Op95
WA5_RS00745,WA5_RS00745,,,,,,,No COG annotation,,
WA5_RS00750,WA5_RS00750,NC_020519.1,WA5_0139,153223.0,155613.0,-,ATP-dependent RNA helicase,"Replication, recombination and repair",Q8NU10,Op97
WA5_RS00755,WA5_RS00755,NC_020519.1,WA5_0140,156144.0,156821.0,-,sugar O-acetyltransferase,Function unknown,Q8NU08,Op98
WA5_RS00760,WA5_RS00760,NC_020519.1,WA5_0141,156848.0,157540.0,+,alpha-ketoglutarate-dependent dioxygenase AlkB,"Replication, recombination and repair",Q8NU07,Op99
WA5_RS00765,WA5_RS00765,NC_020519.1,WA5_0142,157614.0,158141.0,+,DNA-3-methyladenine glycosylase I,"Replication, recombination and repair",,Op100
WA5_RS00770,WA5_RS00770,NC_020519.1,WA5_0143,158154.0,158834.0,+,LysE family translocator,Amino acid transport and metabolism,Q8NU05,Op100
WA5_RS00775,WA5_RS00775,NC_020519.1,WA5_0144,158869.0,159162.0,+,RNA-binding S4 domain-containing protein,Function unknown,R0JE80,Op100
WA5_RS00780,WA5_RS00780,NC_020519.1,WA5_0145,159162.0,160016.0,+,VOC family protein,Function unknown,R0JQ52,Op100
WA5_RS00785,WA5_RS00785,NC_020519.1,WA5_0146,160029.0,160373.0,+,MGMT family protein,"Replication, recombination and repair",A0A1B4WHA5,Op100
WA5_RS00790,WA5_RS00790,NC_020519.1,WA5_0147,160470.0,161363.0,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,Op101
WA5_RS00795,WA5_RS00795,NC_020519.1,WA5_0148,161360.0,162268.0,-,alpha/beta hydrolase fold domain-containing protein,Lipid transport and metabolism,,Op102
WA5_RS00800,WA5_RS00800,NC_020519.1,WA5_0149,162439.0,162870.0,+,RidA family protein,"Translation, ribosomal structure and biogenesis",,Op103
WA5_RS00805,WA5_RS00805,NC_020519.1,WA5_0150,162983.0,163606.0,+,hypothetical protein,Carbohydrate transport and metabolism,A0A6M4Q3V4,Op104
WA5_RS00810,WA5_RS00810,NC_020519.1,WA5_0151,163686.0,165614.0,-,M13 family metallopeptidase,"Post-translational modification, protein turnover, and chaperones",,Op105
WA5_RS00815,WA5_RS00815,,,,,,,No COG annotation,,
WA5_RS00820,WA5_RS00820,NC_020519.1,WA5_0153,166457.0,167422.0,+,PrsW family intramembrane metalloprotease,Function unknown,Q8NTZ5,Op106
WA5_RS00825,iolR,NC_020519.1,WA5_0154,167834.0,168595.0,-,GntR family transcriptional regulator IolR,Transcription,R0I1Z3,Op107
WA5_RS00830,iolC,NC_020519.1,WA5_0155,169038.0,169994.0,+,5-dehydro-2-deoxygluconokinase,Carbohydrate transport and metabolism,R0JTS0,Op108
WA5_RS00835,WA5_RS00835,NC_020519.1,WA5_0156,170044.0,170919.0,+,hypothetical protein,Carbohydrate transport and metabolism,R0JE90,Op108
WA5_RS00840,WA5_RS00840,NC_020519.1,WA5_0157,170933.0,172447.0,+,CoA-acylating methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,,Op108
WA5_RS00845,iolB,NC_020519.1,WA5_0158,172468.0,173358.0,+,5-deoxy-glucuronate isomerase,Carbohydrate transport and metabolism,A0A172QQG4,Op108
WA5_RS00850,iolD,NC_020519.1,WA5_0159,173365.0,175278.0,+,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),Energy production and conversion,,Op108
WA5_RS00855,WA5_RS00855,NC_020519.1,WA5_0160,175319.0,176275.0,+,sugar phosphate isomerase/epimerase,"Replication, recombination and repair",A0A0U4Q8C9,Op108
WA5_RS00860,WA5_RS00860,NC_020519.1,WA5_0161,176308.0,177321.0,+,Gfo/Idh/MocA family oxidoreductase,Energy production and conversion,A0A0U4QD26,Op108
WA5_RS00865,WA5_RS00865,NC_020519.1,WA5_0162,177334.0,178206.0,+,sugar phosphate isomerase/epimerase,Carbohydrate transport and metabolism,Q8NTY6,Op108
WA5_RS00870,WA5_RS00870,NC_020519.1,WA5_0163,178285.0,179661.0,+,MFS transporter,Amino acid transport and metabolism,,Op109
WA5_RS00875,WA5_RS00875,NC_020519.1,WA5_0164,179689.0,180714.0,+,Gfo/Idh/MocA family oxidoreductase,Function unknown,A0A0S2T109,Op109
WA5_RS00880,WA5_RS00880,,,,,,,No COG annotation,,
WA5_RS00885,WA5_RS00885,,,,,,,No COG annotation,,
WA5_RS00890,WA5_RS00890,NC_020519.1,WA5_0167,181684.0,182679.0,-,LacI family transcriptional regulator,Transcription,Q8NTY1,Op111
WA5_RS00895,WA5_RS00895,NC_020519.1,WA5_0168,182819.0,184054.0,+,Gfo/Idh/MocA family oxidoreductase,Function unknown,Q8NTY0,Op112
WA5_RS00900,WA5_RS00900,NC_020519.1,WA5_0169,184077.0,185090.0,+,sugar phosphate isomerase/epimerase,Carbohydrate transport and metabolism,Q8NTX9,Op112
WA5_RS00905,WA5_RS00905,NC_020519.1,WA5_0170,185214.0,185645.0,+,hypothetical protein,No COG annotation,Q8NTX8,Op113
WA5_RS00910,WA5_RS00910,NC_020519.1,WA5_0171,186508.0,186711.0,+,cold-shock protein,Transcription,A0A0U4X219,Op114
WA5_RS00920,WA5_RS00920,NC_020519.1,WA5_0173,187302.0,187610.0,+,transcriptional regulator,Transcription,A0A0U4INN5,Op115
WA5_RS00925,WA5_RS00925,NC_020519.1,WA5_0174,187687.0,188103.0,+,O-methyltransferase,"Replication, recombination and repair",Q8NTX4,Op116
WA5_RS00930,WA5_RS00930,NC_020519.1,WA5_0175,188297.0,188725.0,-,GNAT family N-acetyltransferase,Transcription,Q8NTX3,Op117
WA5_RS00935,WA5_RS00935,NC_020519.1,WA5_0176,188744.0,189736.0,-,LacI family transcriptional regulator,Transcription,Q8NTX2,Op117
WA5_RS00940,WA5_RS00940,NC_020519.1,WA5_0177,189920.0,190324.0,+,hypothetical protein,No COG annotation,A0A516RV96,Op118
WA5_RS00945,WA5_RS00945,NC_020519.1,WA5_0178,190700.0,192175.0,-,sugar porter family MFS transporter,Inorganic ion transport and metabolism,Q8NTX0,Op119
WA5_RS00950,WA5_RS00950,NC_020519.1,WA5_0179,193262.0,194467.0,+,IS30-like element ISCg2 family transposase,"Replication, recombination and repair",H7C691,Op120
WA5_RS00955,WA5_RS00955,NC_020519.1,WA5_0180,194601.0,195038.0,-,PAS domain S-box protein,Signal transduction mechanisms,Q8NTW9,Op121
WA5_RS00960,gltB,NC_020519.1,WA5_0181,195240.0,199772.0,+,glutamate synthase large subunit,Amino acid transport and metabolism,Q8NTW8,Op122
WA5_RS00965,WA5_RS00965,NC_020519.1,WA5_0182,199772.0,201292.0,+,glutamate synthase subunit beta,Energy production and conversion,,Op122
WA5_RS00970,WA5_RS00970,NC_020519.1,WA5_0183,201757.0,203244.0,-,glutamate-cysteine ligase family protein,Function unknown,Q8NTW6,Op123
WA5_RS00975,WA5_RS00975,NC_020519.1,WA5_0184,203538.0,206978.0,-,arabinosyltransferase domain-containing protein,Cell wall/membrane/envelope biogenesis,,Op124
WA5_RS00980,WA5_RS00980,NC_020519.1,WA5_0185,207004.0,209037.0,-,galactan 5-O-arabinofuranosyltransferase,Function unknown,,Op124
