locus_tag	gene_name	accession	old_locus_tag	start	end	strand	gene_product	COG	uniprot	operon
WA5_RS00470	WA5_RS00470	NC_020519.1	WA5_0084	91503	91991	+	urease subunit beta	E		Op59
WA5_RS00475	ureC	NC_020519.1	WA5_0085	91992	93704	+	urease subunit alpha	E	A0A0U4XS66	Op59
WA5_RS00480	ureE	NC_020519.1	WA5_0086	93729	94202	+	urease accessory protein UreE	J	Q9RHM3	Op59
WA5_RS00485	WA5_RS00485	NC_020519.1	WA5_0087	94202	94882	+	urease accessory protein UreF	O	A0A0U4QCU0	Op59
WA5_RS00490	ureG	NC_020519.1	WA5_0088	94899	95516	+	urease accessory protein UreG	K	R0HXS2	Op59
WA5_RS00495	WA5_RS00495	NC_020519.1	WA5_0089	95517	96368	+	urease accessory protein UreD	O	A0A1Q3DLT1	Op59
WA5_RS00500	WA5_RS00500	NC_020519.1	WA5_0090	96365	97117	-	alpha/beta fold hydrolase	I		Op60
WA5_RS00505	WA5_RS00505	NC_020519.1	WA5_0091	97316	98470	-	MFS transporter	E	Q8NU55	Op61
WA5_RS00510	WA5_RS00510	NC_020519.1	WA5_0092	98805	101582	-	hypothetical protein	K	Q8NU54	Op62
WA5_RS00515	WA5_RS00515	NC_020519.1	WA5_0093	101609	103435	-	HSP90 family protein	O		Op62
WA5_RS00520	amn	NC_020519.1	WA5_0094	103503	104912	+	AMP nucleosidase	F		Op63
WA5_RS00525	WA5_RS00525	NC_020519.1	WA5_0095	105170	105874	-	hypothetical protein	E		Op64
WA5_RS00530	WA5_RS00530	NC_020519.1	WA5_0096	105838	106392	-	thiamine pyrophosphate-binding protein	E	Q8NU50	Op65
WA5_RS00535	WA5_RS00535	NC_020519.1	WA5_0097	106627	107178	-	PepSY domain-containing protein	S		Op66
WA5_RS00540	WA5_RS00540	NC_020519.1	WA5_0098	107444	110893	+	proline dehydrogenase family protein	C		Op67
WA5_RS00545	WA5_RS00545	NC_020519.1	WA5_0099	111374	112321	+	aldo/keto reductase	C	Q8NU47	Op68
WA5_RS00550	WA5_RS00550	NC_020519.1	WA5_0100	112470	114086	+	AbgT family transporter	H	Q8NU46	Op69
WA5_RS00555	WA5_RS00555	NC_020519.1	WA5_0101	114093	115481	+	M20 family metallopeptidase	S		Op69
WA5_RS00560	WA5_RS00560	NC_020519.1	WA5_0102	115578	115946	+	YidH family protein	S	R0I1R4	Op70
WA5_RS00565	WA5_RS00565	NC_020519.1	WA5_0103	115949	116266	+	DUF202 domain-containing protein	S	R0JTL0	Op70
WA5_RS00570	WA5_RS00570	NC_020519.1	WA5_0104	116545	118557	-	ATP-binding protein	X		Op71
WA5_RS00580	WA5_RS00580	NC_020519.1	WA5_0105	118807	119559	-	DeoR family transcriptional regulator	K		Op72
WA5_RS00585	WA5_RS00585	NC_020519.1	WA5_0106	120021	120413	+	VOC family protein	E	A0A6M4Q1U1	Op73
WA5_RS00590	WA5_RS00590	NC_020519.1	WA5_0107	120410	120922	-	histidine phosphatase family protein	T	Q8NU39	Op74
WA5_RS00595	WA5_RS00595	NC_020519.1	WA5_0108	120948	122459	-	mannitol dehydrogenase family protein	G		Op74
WA5_RS00600	WA5_RS00600	NC_020519.1	WA5_0109	122504	123841	-	RbtT/DalT/CsbX family MFS transporter	G	R0I1M7	Op75
WA5_RS00605	WA5_RS00605	NC_020519.1	WA5_0110	124121	124969	+	DeoR/GlpR family DNA-binding transcription regulator	K	A0A1Q6BPC5	Op76
WA5_RS00610	xylB	NC_020519.1	WA5_0111	124971	126353	+	xylulokinase	G		Op76
WA5_RS00615	panC	NC_020519.1	WA5_0112	126350	127189	-	pantoate--beta-alanine ligase	H	Q9X713	Op77
WA5_RS00620	panB	NC_020519.1	WA5_0113	127189	127998	-	3-methyl-2-oxobutanoate hydroxymethyltransferase	H	Q9X712	Op77
WA5_RS15940	WA5_RS15940	NC_020519.1	WA5_0114	128096	129049	-	Fic family protein	K		Op78
WA5_RS00630	WA5_RS00630	NC_020519.1	WA5_0115	129486	130055	-	DNA-3-methyladenine glycosylase	L	Q8NU33	Op79
WA5_RS00635	WA5_RS00635	NC_020519.1	WA5_0116	130145	130801	+	DUF1801 domain-containing protein	S	Q8NU32	Op80
WA5_RS00640	WA5_RS00640	NC_020519.1	WA5_0117	130812	131711	-	alpha/beta hydrolase	I		Op81
WA5_RS00645	WA5_RS00645	NC_020519.1	WA5_0118	131822	132427	+	HAD family phosphatase	S		Op82
WA5_RS00650	WA5_RS00650	NC_020519.1	WA5_0119	132424	132984	+	gamma carbonic anhydrase family protein	S	Q8NU29	Op82
WA5_RS00655	WA5_RS00655	NC_020519.1	WA5_0120	132968	134113	-	winged helix-turn-helix domain-containing protein	K	R0I1W0	Op83
WA5_RS00660	WA5_RS00660	NC_020519.1	WA5_0121	134204	135478	-	MFS transporter	E	Q8NU27	Op84
WA5_RS00665	WA5_RS00665	NC_020519.1	WA5_0122	135515	136201	-	hypothetical protein	-		Op84
WA5_RS00670	WA5_RS00670	NC_020519.1	WA5_0123	136119	136541	-	hypothetical protein	-		Op85
WA5_RS00675	WA5_RS00675	NC_020519.1	WA5_0124	136804	138747	+	membrane protein	-	Q8NU24	Op86
WA5_RS00680	WA5_RS00680	NC_020519.1	WA5_0125	138791	140332	+	hypothetical protein	-	Q8NU23	Op87
WA5_RS00685	WA5_RS00685	NC_020519.1	WA5_0126	140329	141792	+	glycosyltransferase	M	Q8NU22	Op87
WA5_RS00690	WA5_RS00690	NC_020519.1	WA5_0127	141796	143529	+	glycosyltransferase family 39 protein	M		Op87
WA5_RS00695	WA5_RS00695	NC_020519.1	WA5_0128	143575	144642	+	hypothetical protein	S	Q8NU19	Op88
WA5_RS00700	WA5_RS00700	NC_020519.1	WA5_0129	144725	145483	+	sulfite exporter TauE/SafE family protein	S	R0JQ40	Op89
WA5_RS00705	WA5_RS00705	NC_020519.1	WA5_0130	145515	146396	-	permease	S	Q8NU18	Op90
WA5_RS00710	WA5_RS00710	NC_020519.1	WA5_0131	146522	147241	+	trimeric intracellular cation channel family protein	S	Q8NU17	Op91
WA5_RS00715	WA5_RS00715	NC_020519.1	WA5_0132	147238	147573	+	META domain-containing protein	O	Q8NU16	Op91
WA5_RS00720	WA5_RS00720	NC_020519.1	WA5_0133	147570	147980	-	aspartate 1-decarboxylase	H	R0JE72	Op92
WA5_RS00725	WA5_RS00725	NC_020519.1	WA5_0134	148122	149783	+	DUF885 family protein	S	Q8NU15	Op93
WA5_RS00730	WA5_RS00730	NC_020519.1	WA5_0135	149791	150930	-	AbrB family transcriptional regulator	S	Q8NU14	Op94
WA5_RS00735	WA5_RS00735	NC_020519.1	WA5_0136	150963	151454	-	hypothetical protein	-		Op94
WA5_RS00740	WA5_RS00740	NC_020519.1	WA5_0137	151590	152372	+	TSUP family transporter	S	A0A1B4WHB2	Op95
WA5_RS00745	WA5_RS00745	NC_020519.1	WA5_0138	152440	152817	+	hypothetical protein	-	A0A6L2RC32	Op96
WA5_RS00750	WA5_RS00750	NC_020519.1	WA5_0139	153223	155613	-	ATP-dependent RNA helicase	L	Q8NU10	Op97
WA5_RS00755	WA5_RS00755	NC_020519.1	WA5_0140	156144	156821	-	sugar O-acetyltransferase	S	Q8NU08	Op98
WA5_RS00760	WA5_RS00760	NC_020519.1	WA5_0141	156848	157540	+	alpha-ketoglutarate-dependent dioxygenase AlkB	L	Q8NU07	Op99
WA5_RS00765	WA5_RS00765	NC_020519.1	WA5_0142	157614	158141	+	DNA-3-methyladenine glycosylase I	L		Op100
WA5_RS00770	WA5_RS00770	NC_020519.1	WA5_0143	158154	158834	+	LysE family translocator	E	Q8NU05	Op100
WA5_RS00775	WA5_RS00775	NC_020519.1	WA5_0144	158869	159162	+	RNA-binding S4 domain-containing protein	S	R0JE80	Op100
WA5_RS00780	WA5_RS00780	NC_020519.1	WA5_0145	159162	160016	+	VOC family protein	S	R0JQ52	Op100
WA5_RS00785	WA5_RS00785	NC_020519.1	WA5_0146	160029	160373	+	MGMT family protein	L	A0A1B4WHA5	Op100
WA5_RS00790	WA5_RS00790	NC_020519.1	WA5_0147	160470	161363	+	hypothetical protein	M		Op101
WA5_RS00795	WA5_RS00795	NC_020519.1	WA5_0148	161360	162268	-	alpha/beta hydrolase fold domain-containing protein	I		Op102
WA5_RS00800	WA5_RS00800	NC_020519.1	WA5_0149	162439	162870	+	RidA family protein	J		Op103
WA5_RS00805	WA5_RS00805	NC_020519.1	WA5_0150	162983	163606	+	hypothetical protein	G	A0A6M4Q3V4	Op104
WA5_RS00810	WA5_RS00810	NC_020519.1	WA5_0151	163686	165614	-	M13 family metallopeptidase	O		Op105
WA5_RS00815	WA5_RS00815	NC_020519.1	WA5_0152	165717	166460	+	hypothetical protein	-		Op106
WA5_RS00820	WA5_RS00820	NC_020519.1	WA5_0153	166457	167422	+	PrsW family intramembrane metalloprotease	S	Q8NTZ5	Op106
WA5_RS00825	iolR	NC_020519.1	WA5_0154	167834	168595	-	GntR family transcriptional regulator IolR	K	R0I1Z3	Op107
WA5_RS00830	iolC	NC_020519.1	WA5_0155	169038	169994	+	5-dehydro-2-deoxygluconokinase	G	R0JTS0	Op108
WA5_RS00835	WA5_RS00835	NC_020519.1	WA5_0156	170044	170919	+	hypothetical protein	G	R0JE90	Op108
WA5_RS00840	WA5_RS00840	NC_020519.1	WA5_0157	170933	172447	+	CoA-acylating methylmalonate-semialdehyde dehydrogenase	C		Op108
WA5_RS00845	iolB	NC_020519.1	WA5_0158	172468	173358	+	5-deoxy-glucuronate isomerase	G	A0A172QQG4	Op108
WA5_RS00850	iolD	NC_020519.1	WA5_0159	173365	175278	+	3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing)	C		Op108
WA5_RS00855	WA5_RS00855	NC_020519.1	WA5_0160	175319	176275	+	sugar phosphate isomerase/epimerase	L	A0A0U4Q8C9	Op108
WA5_RS00860	WA5_RS00860	NC_020519.1	WA5_0161	176308	177321	+	Gfo/Idh/MocA family oxidoreductase	C	A0A0U4QD26	Op108
WA5_RS00865	WA5_RS00865	NC_020519.1	WA5_0162	177334	178206	+	sugar phosphate isomerase/epimerase	G	Q8NTY6	Op108
WA5_RS00870	WA5_RS00870	NC_020519.1	WA5_0163	178285	179661	+	MFS transporter	E		Op109
WA5_RS00875	WA5_RS00875	NC_020519.1	WA5_0164	179689	180714	+	Gfo/Idh/MocA family oxidoreductase	S	A0A0S2T109	Op109
WA5_RS00880	WA5_RS00880	NC_020519.1	WA5_0165	180842	181300	+	prevent-host-death protein	-	Q8NTY3	Op110
WA5_RS00885	WA5_RS00885	NC_020519.1		181303	181650	+	hypothetical protein	-		Op110
WA5_RS00890	WA5_RS00890	NC_020519.1	WA5_0167	181684	182679	-	LacI family transcriptional regulator	K	Q8NTY1	Op111
WA5_RS00895	WA5_RS00895	NC_020519.1	WA5_0168	182819	184054	+	Gfo/Idh/MocA family oxidoreductase	S	Q8NTY0	Op112
WA5_RS00900	WA5_RS00900	NC_020519.1	WA5_0169	184077	185090	+	sugar phosphate isomerase/epimerase	G	Q8NTX9	Op112
WA5_RS00905	WA5_RS00905	NC_020519.1	WA5_0170	185214	185645	+	hypothetical protein	X	Q8NTX8	Op113
WA5_RS00910	WA5_RS00910	NC_020519.1	WA5_0171	186508	186711	+	cold-shock protein	K	A0A0U4X219	Op114
WA5_RS00920	WA5_RS00920	NC_020519.1	WA5_0173	187302	187610	+	transcriptional regulator	K	A0A0U4INN5	Op115
WA5_RS00925	WA5_RS00925	NC_020519.1	WA5_0174	187687	188103	+	O-methyltransferase	L	Q8NTX4	Op116
WA5_RS00930	WA5_RS00930	NC_020519.1	WA5_0175	188297	188725	-	GNAT family N-acetyltransferase	K	Q8NTX3	Op117
WA5_RS00935	WA5_RS00935	NC_020519.1	WA5_0176	188744	189736	-	LacI family transcriptional regulator	K	Q8NTX2	Op117
WA5_RS00940	WA5_RS00940	NC_020519.1	WA5_0177	189920	190324	+	hypothetical protein	X	A0A516RV96	Op118
WA5_RS00945	WA5_RS00945	NC_020519.1	WA5_0178	190700	192175	-	sugar porter family MFS transporter	P	Q8NTX0	Op119
WA5_RS00950	WA5_RS00950	NC_020519.1	WA5_0179	193262	194467	+	IS30-like element ISCg2 family transposase	L	H7C691	Op120
WA5_RS00955	WA5_RS00955	NC_020519.1	WA5_0180	194601	195038	-	PAS domain S-box protein	T	Q8NTW9	Op121
WA5_RS00960	gltB	NC_020519.1	WA5_0181	195240	199772	+	glutamate synthase large subunit	E	Q8NTW8	Op122
WA5_RS00965	WA5_RS00965	NC_020519.1	WA5_0182	199772	201292	+	glutamate synthase subunit beta	C		Op122
WA5_RS00970	WA5_RS00970	NC_020519.1	WA5_0183	201757	203244	-	glutamate-cysteine ligase family protein	S	Q8NTW6	Op123
WA5_RS00975	WA5_RS00975	NC_020519.1	WA5_0184	203538	206978	-	arabinosyltransferase domain-containing protein	M		Op124
WA5_RS00980	WA5_RS00980	NC_020519.1	WA5_0185	207004	209037	-	galactan 5-O-arabinofuranosyltransferase	S		Op124
WA5_RS00985	WA5_RS00985	NC_020519.1	WA5_0186	209207	209968	-	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	S	Q8NTW3	Op125
WA5_RS00990	WA5_RS00990	NC_020519.1	WA5_0187	209989	211455	-	FAD-binding oxidoreductase	C	Q8NTW2	Op125
WA5_RS00995	WA5_RS00995	NC_020519.1	WA5_0188	211532	211759	-	hypothetical protein	-	R0JB51	Op126
WA5_RS01000	WA5_RS01000	NC_020519.1	WA5_0189	211795	212286	+	hypothetical protein	-		Op127
WA5_RS01005	WA5_RS01005	NC_020519.1	WA5_0190	212283	212738	+	hypothetical protein	-	Q8NTV9	Op127
WA5_RS01010	WA5_RS01010	NC_020519.1	WA5_0191	212764	213660	+	hypothetical protein	-		Op127
WA5_RS01015	WA5_RS01015	NC_020519.1	WA5_0192	213712	214110	+	GtrA family protein	S		Op128
WA5_RS01020	WA5_RS01020	NC_020519.1	WA5_0193	214121	214525	+	hypothetical protein	-	Q8NTV6	Op128
WA5_RS01025	WA5_RS01025	NC_020519.1	WA5_0194	214527	215162	+	MOSC domain-containing protein	S	R0JM08	Op128
WA5_RS01030	WA5_RS01030	NC_020519.1	WA5_0195	215159	216091	-	glycosyltransferase family 2 protein	S		Op129
WA5_RS01035	WA5_RS01035	NC_020519.1	WA5_0196	216113	216712	-	VOC family protein	E	Q8NTV3	Op129
WA5_RS01040	WA5_RS01040	NC_020519.1	WA5_0197	217138	217929	-	ABC transporter ATP-binding protein	G	Q8NTV2	Op130
WA5_RS01045	WA5_RS01045	NC_020519.1	WA5_0198	217940	218836	-	ABC transporter permease	G		Op130
WA5_RS01050	WA5_RS01050	NC_020519.1	WA5_0199	218979	220154	+	aminotransferase class V-fold PLP-dependent enzyme	E		Op131
WA5_RS01055	WA5_RS01055	NC_020519.1	WA5_0200	220151	221107	-	NAD(P)H-quinone oxidoreductase	C		Op132
WA5_RS01060	WA5_RS01060	NC_020519.1	WA5_0201	221128	221655	-	hypothetical protein	-		Op132
WA5_RS01070	WA5_RS01070	NC_020519.1	WA5_0202	221929	222210	+	(2Fe-2S)-binding protein	C	R0JQL6	Op133
WA5_RS01075	WA5_RS01075	NC_020519.1	WA5_0203	222207	223694	-	sodium:alanine symporter family protein	E	A0A0F6Z3P7	Op134
WA5_RS01080	WA5_RS01080	NC_020519.1	WA5_0204	224336	225247	+	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein	S		Op135
WA5_RS01085	WA5_RS01085	NC_020519.1	WA5_0205	225239	226312	-	ThiF family adenylyltransferase	H	A0A1Q3DLT5	Op136
WA5_RS01090	WA5_RS01090	NC_020519.1	WA5_0206	226309	226767	-	molybdenum cofactor biosynthesis protein MoaE	H	Q8NTU3	Op136
WA5_RS01095	WA5_RS01095	NC_020519.1	WA5_0207	226757	227218	-	MogA/MoaB family molybdenum cofactor biosynthesis protein	H		Op136
WA5_RS01100	moaC	NC_020519.1	WA5_0208	227215	227685	-	cyclic pyranopterin monophosphate synthase MoaC	H	Q8NTU1	Op136
WA5_RS01105	WA5_RS01105	NC_020519.1	WA5_0209	227700	228884	-	molybdopterin molybdotransferase MoeA	H		Op136
WA5_RS01110	WA5_RS01110	NC_020519.1	WA5_0210	228888	229727	-	molybdenum ABC transporter permease	P		Op136
WA5_RS01115	modA	NC_020519.1	WA5_0211	229708	230514	-	molybdate ABC transporter substrate-binding protein	P	Q8NTT8	Op136
WA5_RS01120	WA5_RS01120	NC_020519.1	WA5_0212	230674	230931	+	MoaD/ThiS family protein	H	R0JB83	Op137
