## Mon Oct 24 05:02:52 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WA5_RS00085	196627.cg0019	2.08e-210	582.0	COG0583@1|root,COG0583@2|Bacteria,2GMES@201174|Actinobacteria,22MM2@1653|Corynebacteriaceae	201174|Actinobacteria	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
WA5_RS00095	196627.cg0025	7.99e-195	541.0	COG0785@1|root,COG0785@2|Bacteria,2GMXW@201174|Actinobacteria,22M80@1653|Corynebacteriaceae	201174|Actinobacteria	O	Cytochrome C biogenesis protein transmembrane region	dsbD	-	-	-	-	-	-	-	-	-	-	-	DsbD
WA5_RS00100	196627.cg0026	2.53e-161	453.0	COG1651@1|root,COG1651@2|Bacteria,2IGR9@201174|Actinobacteria,22KGY@1653|Corynebacteriaceae	201174|Actinobacteria	O	DSBA-like thioredoxin domain	-	-	-	-	-	-	-	-	-	-	-	-	Thioredoxin_4
WA5_RS00105	196627.cg0027	3.61e-84	248.0	COG3682@1|root,COG3682@2|Bacteria,2HJ5K@201174|Actinobacteria,22NIA@1653|Corynebacteriaceae	201174|Actinobacteria	K	Penicillinase repressor	-	-	-	-	-	-	-	-	-	-	-	-	Penicillinase_R
WA5_RS00110	196627.cg0029	5.63e-194	541.0	COG0501@1|root,COG0501@2|Bacteria,2HMJC@201174|Actinobacteria,22K3H@1653|Corynebacteriaceae	201174|Actinobacteria	O	Peptidase family M48	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M48
WA5_RS15930	196627.cg0031	2.27e-32	112.0	COG0656@1|root,COG0656@2|Bacteria	2|Bacteria	S	aldo-keto reductase (NADP) activity	-	-	1.1.1.346	ko:K06221	-	-	R08878	RC00089	ko00000,ko01000	-	-	-	Aldo_ket_red
WA5_RS00115	196627.cg0034	2.87e-123	352.0	COG0737@1|root,COG0737@2|Bacteria,2GKC3@201174|Actinobacteria,22K2R@1653|Corynebacteriaceae	201174|Actinobacteria	F	Belongs to the 5'-nucleotidase family	-	-	3.1.3.5	ko:K01081	ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110	-	R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346	RC00017	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,Metallophos
WA5_RS00120	196627.cg0035	2.29e-292	798.0	COG0737@1|root,COG0737@2|Bacteria,2GKC3@201174|Actinobacteria,22K2R@1653|Corynebacteriaceae	201174|Actinobacteria	F	Belongs to the 5'-nucleotidase family	-	-	3.1.3.5	ko:K01081	ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110	-	R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346	RC00017	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,Metallophos
WA5_RS16110	196627.cg2652	1.79e-24	95.1	COG3677@1|root,COG3677@2|Bacteria,2IEJD@201174|Actinobacteria,22KBK@1653|Corynebacteriaceae	201174|Actinobacteria	L	Transposase and inactivated derivatives	-	-	-	-	-	-	-	-	-	-	-	-	Transposase_mut
WA5_RS00140	196627.cg0038	7.56e-98	285.0	COG1764@1|root,COG1764@2|Bacteria,2IID0@201174|Actinobacteria,22NCK@1653|Corynebacteriaceae	201174|Actinobacteria	O	peroxiredoxin, Ohr subfamily	ohr	-	-	-	-	-	-	-	-	-	-	-	OsmC
WA5_RS00145	196627.cg0039	0.0	1100.0	COG1846@1|root,COG2865@1|root,COG1846@2|Bacteria,COG2865@2|Bacteria,2GZ30@201174|Actinobacteria,22JN5@1653|Corynebacteriaceae	201174|Actinobacteria	K	transcriptional regulator containing an HTH domain and an	-	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AlbA_2,HATPase_c_4,HTH_24,HTH_DeoR
WA5_RS00150	196627.cg0040	1.5e-295	808.0	COG3391@1|root,COG3391@2|Bacteria,2GKI4@201174|Actinobacteria,22KIP@1653|Corynebacteriaceae	201174|Actinobacteria	S	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00155	196627.cg0041	8.55e-220	607.0	COG0803@1|root,COG0803@2|Bacteria,2GM1K@201174|Actinobacteria,22RDP@1653|Corynebacteriaceae	201174|Actinobacteria	P	Belongs to the bacterial solute-binding protein 9 family	mntC	-	-	ko:K02077	-	M00244	-	-	ko00000,ko00002,ko02000	3.A.1.15	-	-	ZnuA
WA5_RS00160	196627.cg0042	1.2e-181	508.0	COG1108@1|root,COG1108@2|Bacteria,2GJ7H@201174|Actinobacteria,22KZF@1653|Corynebacteriaceae	201174|Actinobacteria	P	ABC-type Mn2 Zn2 transport systems permease components	mntB	-	-	ko:K02075,ko:K09819	-	M00243,M00244	-	-	ko00000,ko00002,ko02000	3.A.1.15	-	-	ABC-3
WA5_RS00165	196627.cg0043	3.68e-151	425.0	COG1121@1|root,COG1121@2|Bacteria,2IN45@201174|Actinobacteria,22NA6@1653|Corynebacteriaceae	201174|Actinobacteria	P	ATPases associated with a variety of cellular activities	-	-	-	ko:K02074	-	M00244	-	-	ko00000,ko00002,ko02000	3.A.1.15	-	-	ABC_tran
WA5_RS00170	196627.cg0044	3.53e-228	629.0	COG1879@1|root,COG1879@2|Bacteria,2GKIJ@201174|Actinobacteria,22JI2@1653|Corynebacteriaceae	201174|Actinobacteria	G	ABC-type sugar transport system periplasmic component	iolTA	-	-	ko:K02058	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	Peripla_BP_4
WA5_RS00175	196627.cg0045	1.45e-218	606.0	COG1172@1|root,COG1172@2|Bacteria,2GM9E@201174|Actinobacteria,22MA6@1653|Corynebacteriaceae	201174|Actinobacteria	G	Ribose xylose arabinose galactoside ABC-type transport systems permease components	iolTB	-	-	ko:K02057	-	M00221	-	-	ko00000,ko00002,ko02000	3.A.1.2	-	-	BPD_transp_2
WA5_RS00180	196627.cg0046	5.21e-177	493.0	COG1129@1|root,COG1129@2|Bacteria,2GJDV@201174|Actinobacteria,22KVT@1653|Corynebacteriaceae	201174|Actinobacteria	G	ABC-type sugar transport system, ATPase component	iolTC	-	3.6.3.17	ko:K02056	-	M00221	-	-	ko00000,ko00002,ko01000,ko02000	3.A.1.2	-	-	ABC_tran
WA5_RS00185	1121362.A605_00065	1.34e-09	65.9	2ATBD@1|root,31IUE@2|Bacteria,2HN7U@201174|Actinobacteria,22MM0@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS00190	196627.cg0048	9.19e-124	352.0	COG0652@1|root,COG0652@2|Bacteria,2IFUE@201174|Actinobacteria,22K8X@1653|Corynebacteriaceae	201174|Actinobacteria	O	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	ppiA	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0030312,GO:0036211,GO:0042221,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0071704,GO:0071944,GO:0140096,GO:1901564	5.2.1.8	ko:K03767,ko:K03768	ko01503,ko04217,map01503,map04217	-	-	-	ko00000,ko00001,ko01000,ko03110,ko04147	-	-	-	Pro_isomerase
WA5_RS00195	196627.cg0049	1.98e-146	414.0	COG0705@1|root,COG0705@2|Bacteria,2GJYG@201174|Actinobacteria,22KPT@1653|Corynebacteriaceae	201174|Actinobacteria	S	membrane protein (homolog of Drosophila rhomboid)	ybhB	-	3.4.21.105	ko:K19225	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Rhomboid
WA5_RS00200	196627.cg0051	9.61e-188	524.0	COG2207@1|root,COG2207@2|Bacteria,2IEX7@201174|Actinobacteria	201174|Actinobacteria	K	AraC-type DNA-binding domain-containing proteins	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18
WA5_RS00205	196627.cg0052	9.65e-206	572.0	COG4779@1|root,COG4779@2|Bacteria,2GJ7A@201174|Actinobacteria,22M5B@1653|Corynebacteriaceae	201174|Actinobacteria	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	-	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
WA5_RS00210	196627.cg0053	3.41e-185	514.0	COG1120@1|root,COG1120@2|Bacteria,2GJ49@201174|Actinobacteria,22JP3@1653|Corynebacteriaceae	201174|Actinobacteria	HP	transport systems ATPase components	-	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
WA5_RS00215	196627.cg0054	8.79e-200	553.0	COG2375@1|root,COG2375@2|Bacteria,2IG75@201174|Actinobacteria,22MCS@1653|Corynebacteriaceae	201174|Actinobacteria	P	Iron-siderophore binding protein	siuS15	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_9,SIP
WA5_RS00220	196627.cg0055	7.93e-59	181.0	2E4NY@1|root,32ZHR@2|Bacteria,2HNN7@201174|Actinobacteria,22NSC@1653|Corynebacteriaceae	201174|Actinobacteria	D	Involved in cell division	crgA	-	-	-	-	-	-	-	-	-	-	-	CrgA
WA5_RS00225	196627.cg0057	0.0	1182.0	COG0515@1|root,COG2815@1|root,COG0515@2|Bacteria,COG2815@2|Bacteria,2GJ1J@201174|Actinobacteria,22JIY@1653|Corynebacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknB	GO:0000270,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005623,GO:0006022,GO:0006023,GO:0006024,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008047,GO:0008150,GO:0008152,GO:0008360,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009605,GO:0009607,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010565,GO:0010698,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0022603,GO:0022604,GO:0030145,GO:0030203,GO:0030234,GO:0030312,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032091,GO:0034645,GO:0036211,GO:0040007,GO:0042304,GO:0042546,GO:0042802,GO:0043085,GO:0043086,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043388,GO:0043393,GO:0043412,GO:0044036,GO:0044038,GO:0044085,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044464,GO:0045717,GO:0045833,GO:0045922,GO:0046777,GO:0046872,GO:0046890,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051055,GO:0051098,GO:0051099,GO:0051100,GO:0051101,GO:0051128,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0075136,GO:0080090,GO:0098772,GO:0140096,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	PASTA,Pkinase
WA5_RS00230	196627.cg0059	2.95e-271	750.0	COG0515@1|root,COG0515@2|Bacteria,2GMPZ@201174|Actinobacteria,22K42@1653|Corynebacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknA	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008360,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010565,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0022603,GO:0022604,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0036211,GO:0040007,GO:0042304,GO:0043085,GO:0043086,GO:0043170,GO:0043388,GO:0043412,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045717,GO:0045833,GO:0045922,GO:0046777,GO:0046890,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051055,GO:0051098,GO:0051099,GO:0051101,GO:0051128,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0071704,GO:0071944,GO:0080090,GO:0140096,GO:1901564	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
WA5_RS00235	196627.cg0060	0.0	917.0	COG0768@1|root,COG0768@2|Bacteria,2GJUQ@201174|Actinobacteria,22KPA@1653|Corynebacteriaceae	201174|Actinobacteria	M	Cell division protein FtsI penicillin-binding protein 2	pbpA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K05364	ko00550,map00550	-	R04519	RC00005,RC00049	ko00000,ko00001,ko01011	-	-	-	Transpeptidase
WA5_RS00240	196627.cg0061	5.05e-297	813.0	COG0772@1|root,COG0772@2|Bacteria,2GJTI@201174|Actinobacteria,22KAF@1653|Corynebacteriaceae	201174|Actinobacteria	D	Belongs to the SEDS family	rodA	GO:0002682,GO:0002684,GO:0008150,GO:0009605,GO:0009607,GO:0009987,GO:0035821,GO:0043207,GO:0044003,GO:0044403,GO:0044419,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0051301,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052255,GO:0052552,GO:0052553,GO:0052555,GO:0052556,GO:0052564,GO:0052572,GO:0065007,GO:0075136	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
